"id","name","ref","email","street","zip","city","country_id/id","title/id","parent_id/id","company_id/id","customer"
"res_partner_53","Alain Sauveur","cl33","aSauveur@free.fr","10 rue du Chef",13000,"MARSEILLES","base.fr","base.res_partner_title_mister",,,1
"res_partner_54","Eric Desdag","cl34","eDesdag@free.fr","15 rue de Riviere",69000,"LYON","base.fr","base.res_partner_title_mister",,,1
"res_partner_55","Rozenn Dagdes","cl35","rDagdes@free.fr","10 boulevard de la Liberte",67000,"STRASBOURG","base.fr","base.res_partner_title_madam",,,1
"res_partner_56","Denis Broc","cl36","dBroc@free.fr","18 rue du Tee Shirt",67000,"STRASBOURG","base.fr","base.res_partner_title_mister",,,1
"res_partner_57","Guy Barbu","cl37","gBarbu@wanadoo.fr","27 rue des mensonges",67000,"STRASBOURG","base.fr","base.res_partner_title_mister",,,1
"res_partner_58","Anne Grasouille","cl38","aGrasouille@neuf.fr","18 rue de la betise",13100,"AIX EN PROVENCE","base.fr","base.res_partner_title_madam",,,1
"res_partner_59","Rena Meyer","cl39","rMeyer@free.fr","2 rue de la naturopathe",35000,"RENNES","base.fr","base.res_partner_title_madam",,,1
"res_partner_60","Paola Norde","cl40","pNorde@numericable.fr","85 boulevard dell amorata",29200,"BREST","base.fr","base.res_partner_title_madam",,,1
"res_partner_61","Pascal Bertran","cl41","pBertran@free.fr","110 rue du combat",92700,"COLOMBES","base.fr","base.res_partner_title_mister",,,1
"res_partner_62","Laurence Arano","cl42","lArano@neuf.fr","130 boulevard des aveugles",92160,"ANTHONY","base.fr","base.res_partner_title_madam",,,1
"res_partner_63","Christine Harpie","cl43","cHarpie@alice.fr","18 rue de la naivete",76000,"ROUEN","base.fr","base.res_partner_title_madam",,,1
"res_partner_64","La Poste","fr01","delgado@laposte.fr","15 rue de la poste",13002,"Marseille","base.fr","base.res_partner_title_madam",,,1
"res_partner_65","SpecibikeParis",,,"10 boulevard de Gaulle",75000,"Paris","base.fr","base.res_partner_title_mister",,,0
